"股票代码","股票简称","所属概念","所属同花顺行业","所属指数类","股本规模[20190301]","股票市场类型","技术形态[20190304]","选股动向[20190304]","买入信号inter[20190304]","卖出信号inter[20190304]","开盘价:不复权[20190304]","收盘价:不复权[20190304]","最高价:不复权[20190304]","最低价:不复权[20190304]","量比[20190304]","委比[20190304]","概念龙头[20190304]","基本每股收益[20180930]","每股净资产bps[20180930]","换手率[20190304]","股息率(股票获利率)[20171231]","成交量[20190304]","成交额[20190304]","振幅[20190304]","涨跌幅:前复权[20190304]","总股本[20190304]","流通a股[20190304]","总市值[20190304]","a股市值(不含限售股)[20190304]","市盈率(pe,ttm)[20190304]","市盈率(pe)[20190304]","静态市盈率(中证发布)[20190304]","市净率(pb)[20190304]","实际控制人[20190304]","实际控制人类型[20190304]","实际控制人持股比例[20190304]","资金流向[20190304]","归属于母公司所有者的净利润[20180930]","交易状态[20190304]","牛叉诊股综合评分[20190301]","主营产品名称","经营范围","省份","城市"
"600763.SH","通策医疗","民营医院;儿童医药医疗;沪股通;医疗改革;医疗器械概念;二胎概念;年报预增;独角兽概念","医药生物-医疗器械服务-医疗服务Ⅲ","A股指数;中型综指;新综指;新兴成指;上证中小;上证380;上证100;上证流通;中证全指;上证指数;上证全指;中证1000;上证小盘;中证A股;工业指数;新兴综指","大盘股","上证AB股;上证A股;全部A股(非ST);上证上市公司;沪股通;全部AB股;全部上市公司;全部A股","长下影线||放量||下降通道","基金新进持股比例大于5%||成长股||圆弧顶","bias买入信号||boll突破下轨||rsi底背离","boll跌破下轨","40.28","48.35","41.09","39.91","0.69","21.053","","0.86","3.9247","0.963","0.09282178","3086652.0","125246908.0","2.93","2.982","320640000.00","320640000.00","19029984000.0","16593120000.000","67.747","53.744","82.301","14.843","吕建明","境外","26.6831","-6948197.1","275393144.76","","6.4","管理服务||装修服务||口腔医疗服务||医疗服务||婴童||辅助生殖业||医疗||医院||医院投资管理||医疗软件||医院投资||医院管理||医疗保健||辅助生殖医疗服务","一般经营项目：医疗器械、日用品、消毒用品的销售，投资管理，经营进出口业务，技术开发、技术咨询及技术服务，培训服务（不含办班培训）","浙江省","杭州市"
"600765.SH","中航重机","3D打印;激光器;航天军工;航空航天;高端装备;黔中经济区;融资融券;超材料概念;沪股通;航空发动机;转融券标的;军民融合;国产航母;军工;中航系;央企国资改革;年报预增","机械设备-通用设备-机械基础件","中证A股;中证全指;上证全指;上证指数;中证500;上证流通;上证中小;上证380;新综指;新兴综指;工业指数;中证800;A股指数;上证小盘;中证700","中盘股","全部上市公司;全部AB股;沪股通;上证上市公司;全部A股;沪股通(可融资融券);上证AB股;上证A股;全部A股(非ST)","放量拉升||放量||放量突破","圆弧顶||5日均线大于10日均线||连涨3天","boll突破上轨||mtm金叉","bias卖出信号||行情收盘价下穿5日||wr超买","10.36","8.73","10.59","10.36","0.7","-57.036","","0.27","5.2111","0.584","0.16638935","4539414.0","47766783.0","2.209","-1.800","778003200.00","778003200.00","7818932160.0","6278485800.000","43.063","37.805","37.358","1.605","中国航空工业集团有限公司","中央国有企业","27.671","2507760.0","209031493.09","","5.9","散热器||航空锻造||燃气轮机||新能源||锻造材料||金属材料||高端智能装备||锻铸件||液压||液压产品||航母||3d打印||航空发动机||民品||风电||特材||航空锻件||特种材料||风电设备||新能源发电||锻铸业务||燃机设备||航空装备||锻件||燃机||动力装备||垃圾焚烧发电||发动机||飞机机身机翼结构锻件||中小型锻件||航空发动机盘类和环形锻件||航天发动机环锻件||汽轮机大叶片||核电叶片||高铁配件||矿山刮板||汽车曲轴||罗罗公司发动机锻件||ihi公司发动机锻件||itp公司发动机锻件||波音公司飞机锻件||空客公司飞机锻件||液压铸件||叉车零部件||管道阀门","股权投资及经营管理，军民共用液压件、液压系统、锻件、换热器燃气轮机及成套设备，飞机及航空发动机附件，汽车零备件的研制、开发、制造、修理及销售；经营本企业自产机电产品、成套设备及相关技术的进出口业务；经营本企业生产、科所需的原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口业务，开展本企业进料加工和“三来一补”业务。液压、锻件、换热器及燃气轮机技术开发、转让和咨询服务；机械冷热加工、修理修配服务。","贵州省","贵阳市"
"002686.SZ","亿利达","新能源;跨境电商;新能源汽车;富勒烯;股权转让;地方国资改革;浙江国资改革","机械设备-通用设备-其它通用机械","制造指数;中证全指;中证A股;深证A指;中小板综;新指数;深证综指","小盘股","全部A股(非ST);全部AB股;深证A股;全部上市公司;全部A股;中小企业板;深证AB股;深证上市公司","四阳夹一阴||缩量||阳线","低估值||5日均线大于10日均线||朝阳产业","行情收盘价上穿5日||macd金叉||mtm金叉","行情收盘价下穿5日","10.49","7.02","10.74","10.36","0.61","-43.391","","0.173","3.4864","0.206","0.55292259","672000.0","7110531.0","3.602","0.286","443082021.00","328206131.00","3206662292.46","1942980300.000","22.006","32.803","22.481","1.704","浙江省人民政府国有资产监督管理委员会","地方国资委","10.5376","-1358515.5","76859357.53","","5.5","建筑通风机||水盘及风机配件||空调冷凝水盘||其他风机及配件||中央空调风机||空调风机||民用风机||通风机||建筑通风||中央空调||节能电机||建筑风机||电机||节能环保||风机||冷冻冷链风机||空调配件||空调风机及配件||水盘||冷链风机||风机材料||其他风机||配件","生产销售风机、风扇、电机、空调暖通设备及配件、通风净化设备、自动化控制设备、电子工业专用设备、塑料制品、金属制品（依法须经批准的项目,经相关部门批准后方可开展经营活动）。","浙江省","台州市"
"600767.SH","ST运盛","ST板块;云计算;互联网金融;智能医疗;互联网+;互联网医疗","医药生物-医疗器械服务-医疗服务Ⅲ","综合指数;上证流通;中证A股;上证指数;A股指数;新综指","小盘股","全部AB股;全部A股;上证AB股;全部上市公司;ST;上证上市公司;上证A股;风险警示板","阴线||光头阴线||小阴星","优质股||5日均线大于10日均线||箱体震荡","wr超卖","行情收盘价下穿5日","6.1","4.50","6.16","6.1","0.93","-28.152","","-0.054","0.7261","0.517","","1762600.0","10797006.9","0.979","-2.386","341010182.00","340910182.00","1780073150.04","1407959100.000","31.57","373.307","34.162","5.595","戴学斌, 董翔","个人, 个人","24.3336","-3654395.8","-18357042.18","","5.7","房屋租赁||商品||软件||房屋销售||房屋||医疗服务||医疗||医院||医疗信息行业-软件||医疗信息行业-售后及维护||医疗信息行业-硬件","从事医疗科技领域内的科技技术开发、技术咨询、技术服务、技术转让，医疗器械经营，投资咨询和投资管理，医疗行业计算机软硬件的技术开发、项目投资管理，实业投资管理，企业管理咨询。","上海市","青浦区"
"600769.SH","祥龙电业","中部崛起;湖北国资改革;地方国资改革;紫光系","建筑材料-建筑装饰-房屋建设","A股指数;公用指数;新综指;上证流通;中证A股;中证全指;上证指数","小盘股","上证A股;上证上市公司;全部AB股;全部A股(非ST);上证AB股;全部A股;全部上市公司","阴线||光头阴线||聚宝盆","圆弧顶||持续5天缩量||箱体震荡","行情收盘价上穿5日","行情收盘价下穿5日","5.17","4.17","5.46","5.13","2.02","-10.633","","0.009","0.1346","0.825","","3093664.0","16262074.0","6.383","-1.185","374977200.00","374977200.00","1796140788.0","1807390100.000","481.379","334.611","384.714","37.077","武汉东湖新技术开发区管理委员会","地方政府","20.08","6232840.8","3518095.04","","5.8","建筑安装||化工产品||pvc||运输||供水||建筑工程安装","发电、供电、供热；发电设备及配件、仪器仪表销售、安装、维修；本公司电厂废次资源的综合利用；供发电技术、化工原料和精细化工产品技术开发、成果转让、咨询、人才培训、技术服务；自营和代理各类商品和技术的进出口（但国家限定公司经营或禁止进出口的商品和技术除外）；建筑材料、机械电器产品、石油制品（不含成品油）、汽车配件销售；化工产品的生产；蓄电池用PVC烧结隔板制造；承接高、低压电气设备及线路安装、调试、检修；金属结构加工；化工机械工程安装；防腐油漆及涂料的喷刷；硬质PVC设备制作、安装；槽车出租。","湖北省","武汉市"
"002689.SZ","远大智能","人工智能;机器人概念;电梯概念;电梯物联网;工业机器人","机械设备-专用设备-楼宇设备","深证A指;深证综指;制造指数;中证全指;中证A股;中小板综;新指数","中盘股","深证A股;全部AB股;深证AB股;中小企业板;全部A股(非ST);全部上市公司;深证上市公司;全部A股","十字星||底部缩量||缩量","圆弧顶||连续3天的dde大单净额大于0||持续5天缩量","cr金叉","rsi死叉","4.6","3.53","4.97","4.6","1.41","-43.721","人工智能","-0.0128","1.3067","0.877","1.77935943","8257335.0","39703688.0","8.026","-1.397","1043310725.00","1040820509.00","5425215770.0","3445115900.000","167.901","128.027","101.892","2.378","康宝华","个人","57.6102","5708981.2","-12523496.95","","5.6","扶梯||配件||安装及维保费||钢结构||自动扶梯||自动人行道||电梯||载货电梯||杂物电梯||自动人行道及成套配件||直梯||材料||零部件销售||加工","电梯、自动扶梯、自动人行道、立体车库及配件、永磁同步电机、曳引机及调频调压曳引系统、机器人、自动旋转门、擦窗机、自动车库、电控柜、建筑机械设备加工、制造、设计、安装、改造及维修服务;金属板材的钣金、粉末静电喷涂、氟碳漆、丙烯酸漆静电喷涂、陶瓷漆喷涂、木纹转印加工及电梯配套、楼房装饰工程设计;电梯自动化系统及低压电器、计算机软硬件、工业过程控制设备、电机及拖动系统的技术开发、制造、加工;中央空调及相关备件、单体空调及相关备件设计,安装,改造及维修;空调用风管的加工及安装;轻体楼板、集成式板房、钢结构、钢结构板房、简易楼宇的生产、加工、制造、设计、安装、改造及维修。节能环保设备及智能控制系统设计、生产、安装;清洁能源技术及智能控制系统开发,清洁能源设备及智能控制系统设计、生产、安装;电力设备设计、生产、安装,房屋建筑工程的设计、施工。凡涉及国家限制或需行业主管部门审批的,需国家或行业主管部门审批后方可生产经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","辽宁省","沈阳市"
"002691.SZ","冀凯股份","冬奥会;煤矿安全;年报预增","机械设备-专用设备-冶金矿采化工设备","深证综指;中证全指;中证A股;深证A指;中小板综;新指数;制造指数","小盘股","深证A股;全部A股(非ST);中小企业板;全部A股;全部AB股;深证上市公司;全部上市公司;深证AB股","阴线||回调缩量||缩量","持续5天缩量||举牌累积盈亏比例小于0||最近一个月强于大盘的股票","dmi金叉","行情收盘价下穿5日","23.14","7.74","23.18","22.96","0.82","24.281","","0.03","2.567","0.153","0.04147657","305621.0","7047124.4","0.95","-0.896","340000000.00","339090100.00","2679200000.0","2814447800.000","317.412","471.428","328.734","3.255","冯春保","个人","30.19","-548772.88","11730906.58","","5.3","安全钻机||掘进设备||运输机械||锚杆钻车||锚杆钻机||支护机具||煤炭支护机具||综采设备||煤机||综合性煤炭机械||煤矿支护机具||刮板机||煤炭机械||锚杆支护机具||贸易销售","矿用采掘机械、矿用运输设备、矿用电器及仪表、风动设备、电动设备及配件、通讯设备及器材、钻具、锚具、锚固用品的生产销售、机械加工；本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进出口业务，国家限定或禁止的商品和技术除外；设备租赁；自产产品的维修服务，自有房屋租赁。主要产品或提供的劳务：支护机具、安全钻机、掘进设备和运输机械等煤炭机械的研发、制造、销售及服务。","河北省","石家庄市"
"600771.SH","广誉远","不孕不育;中医药;融资融券;转融券标的;老字号;白马股;国资驰援;年报预增","医药生物-中药-中药Ⅲ","上证指数;中证A股;上证流通;新综指;上证中小;A股指数;工业指数;中型综指;上证150;中证全指;上证全指;中证1000;上证小盘","中盘股","全部A股;全部AB股;上证AB股;上证A股;上证上市公司;全部A股(非ST);全部上市公司","阴线||大阴线||放量","光脚阴线||基金新进持股比例大于5%||社保重仓","bias买入信号||wr超卖","macd死叉","42.57","26.88","43.19","42.3","1.12","-22.42","","0.64","6.024","1.034","","2775077.0","118951120.0","2.093","0.186","353111304.00","302305170.00","10431102885.28","11342490000.000","54.705","109.851","61.033","6.437","郭家学","个人","16.8539","4690607.0","225978885.45","","6.1","定坤丹||牛黄清心丸||安宫牛黄丸||盖天力||原料药||龟龄集||传统中药||定坤丹大蜜丸||定坤丹水蜜丸||加味龟龄集酒||龟龄集酒","中药原料药、西药原料药、片剂、硬胶囊剂、软胶囊剂、颗粒剂、注射剂、大输液、口服液的生产、销售、研究；自营和代理各类商品和技术的进出口。","青海省","西宁市"
"002696.SZ","百洋股份","水产品;水域改革;胶原蛋白;饲料;职业教育;文化传媒","农林牧渔-农产品加工-饲料Ⅲ","中证A股;深证综指;农林指数;深证A指;中小板综;新指数;中证全指","小盘股","深证上市公司;全部A股(非ST);全部A股;中小企业板;深证A股;深证AB股;全部上市公司;全部AB股","缩量||下降通道||阳线","本月发生大宗交易||圆弧顶||大股东增持","wr超卖||skdj超卖||psy超卖","行情收盘价下穿5日","18.86","8.92","19.03","18.8","0.79","1.847","","0.3286","5.6905","0.453","1.89393939","797052.0","15085243.0","1.22","0.000","395310691.00","177215030.00","3534077577.54","1642783300.000","32.14","38.596","36.214","1.689","孙忠义, 蔡晶","个人, 个人","41.2523","-2140333.0","129880361.9","","6.2","畜禽饲料||鱼饲料||虾饲料||鲜活水产品||鱼粉鱼油||鱼胶原制品||冻罗非鱼食品||冷冻罗非鱼||冷冻水产食品||速生鸡替代||罗非鱼水产食品||罗非鱼||冻罗非鱼片||水产养殖||畜禽料||鱼粉||鱼油||米油糠","对农业、渔业、食品加工业、环保业以及医药、医疗器械、医疗服务业的投资；生产销售配合饲料、鱼粉、鱼油（非食用）（以上项目仅限分公司经营）；研究开发生物技术、饲料及饲料添加剂；对水产品养殖及加工技术的研究与开发；互联网信息服务；企业策划、咨询服务；资产投资经营管理；计算机软件开发；场地租赁业务；普通货运；自营和代理一般经营项目商品和技术的进出口业务，许可经营项目商品和技术的进出口业务须取得国家专项审批后方可经营。","广西壮族自治区","南宁市"
"600773.SH","西藏城投","新能源汽车;石墨烯手机;稀有金属;钾离子电池;锂矿;静安闸北合并;融资融券;盐湖提锂;保障房;锂电原料;转融券标的;碳纳米管;地方国资改革;证金持股;锂电池;上海国资改革;石墨烯","房地产-房地产开发-房地产开发Ⅲ","中型综指;新综指;中证500;上证流通;综合指数;中证全指;上证指数;中证A股;中证700;A股指数;中证800","中盘股","全部A股;全部A股(非ST);上证上市公司;上证AB股;全部AB股;全部上市公司;上证A股","缩量||下降通道||阳线","圆弧顶||持续5天缩量||朝阳产业","mtm金叉||rsi金叉","rsi死叉||mtm死叉","10.48","6.37","10.5","10.32","0.97","17.727","","0.086","3.9946","0.837","0.09623576","6104943.0","63436739.0","1.713","-0.624","819660744.00","729213663.00","5983523431.2","5177417000.000","74.09","118.94","82.314","1.789","上海市静安区国有资产监督管理委员会","地方国资委","47.78","-19784743.0","70457567.48","","5.6","和源企业广场||北方佳苑||和源大楼(原和兰苑二期)||和源祥邸||和源大楼||和泰花园||临汾名城||彭浦十期c块二期||和源福邸||碳酸锂||盐湖资源开发||房地产收入||房地产开发||石墨烯||电池||和源大楼（原和兰苑二期）||动拆迁江桥基地||和源名城一期||和源馨苑||和源名城二期||房地产销售","对矿业、金融、实业的投资（不具体从事以上经营项目）；建材销售；建筑工程咨询；百货的销售（包括日用百货、服装服饰、皮革制品、鞋帽、洗涤用品、化妆品、护肤用品、摄影器材、玩具、音响设备及器材）；预包装食品、金银珠宝、家具、烟、酒的销售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】","西藏自治区","拉萨市"
"600774.SH","汉商集团","中部崛起;新零售;武汉自贸区;湖北国资改革;地方国资改革;股权转让","商业贸易-零售-百货零售","商业指数;新综指;中型综指;A股指数;中证A股;中证全指;上证指数;上证流通","小盘股","全部A股(非ST);全部A股;上证AB股;上证上市公司;上证A股;全部AB股;全部上市公司","阴线||回调缩量||缩量","本月发生大宗交易||本月发生大宗交易||本月发生大宗交易","mtm金叉||skdj金叉||skdj底背离","行情收盘价下穿5日","16.17","12.07","16.36","16.16","0.34","68.904","","0.049","2.5969","0.107","0.15251652","187024.0","3039817.5","1.227","-1.147","226948002.00","226757731.00","2932168185.84","2473926800.000","129.885","277.886","153.81","4.206","武汉市汉阳区国有资产监督管理办公室","地方国资委","35.01","-240916.67","11026336.52","","6.3","旅业||展览||酒店||物业管理||汉阳商场||武汉婚纱照材城||咸宁温泉山庄||武汉国际会展中心||商品销售||物业||旅游业||展览业||酒店业","百货、针纺织品、五金交电、劳保用品、化工原料、（不含危险化学药品）、通讯器材（不含无线电发射装置）、建筑装饰材料、工艺美术品、日用杂品、家俱、照相器材、照相感光材料、婚纱、礼服零售批发；金银首饰、玉器零售；家电维修服务；儿童游乐及电秤服务；摄影、企业信息咨询服务；广告设计、制作、发布；服装加工；进出口贸易；技术进出口、货物进出口、代理进出口业务（不含国家禁止或限制进出口的货物或技术）；游泳健身、保龄球、攀登、射击；展览、展示；数码冲印；物业管理；公司自有产权闲置房屋的出租与销售；停车场业务；（国家有专项规定的项目经审批后方可经营）其他食品、副食品、图书报刊零售兼批发；副食品加工；住宿、饮食服务、专业技术培训；企业管理咨询；房地产开发，商品房销售。","湖北省","武汉市"
"002697.SZ","红旗连锁","共享单车;参股民营银行;移动购物;腾讯概念;跨境电商;无人零售;股权转让;深股通;新零售;电子商务;年报预增","商业贸易-零售-百货零售","深证A指;中小板综;新指数;中证1000;中证全指;中小基础;中证A股;批零指数;深证综指;深证1000;中小创新;深证700","中盘股","全部上市公司;全部A股(非ST);中小企业板;全部A股;深证AB股;深证A股;深证上市公司;深股通;全部AB股","十字星||缩量||横盘","圆弧顶||举牌累积盈亏比例小于0||业绩预告类型预增","rsi金叉||skdj金叉","行情收盘价下穿5日","5.69","5.26","5.7","5.62","0.7","15.972","","0.19","1.872","0.725","0.32915361","6260854.0","35410088.0","1.409","-0.755","1360000000.00","986424100.00","7684000000.0","4606600500.000","36.794","46.795","40.158","2.598","曹世如","个人","24.08","-6997324.9","255929326.0","","6.0","烟酒||食品||日用百货||商业百货||超市零售||连锁超市||超市","批发与零售业；票务服务；房屋租赁。广告、代居民收水电费及其他费用；仓储、配送（除国家限制项目）；家务服务；摄影冲洗服务；自营和代理各类商品及技术的进出口业务；销售医疗器械（仅限一类和二类中不涉及行政许可的项目）；在互联网上销售商品。零售：烟、酒；批发兼零售：预包装食品兼散装食品，乳制品（含婴幼儿配方乳粉）；第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和移动网信息服务）；以下限分支机构凭许可证在有效期内经营：代理销售福利彩票；打字、复印；零售国内图书期刊；茶座；中餐不含加工外卖，含凉菜；零售中成药、化学药制剂、生物制品（不含预防性生物制品）、生化药品（限分支机构药品专柜并在规定品种范围内经营）；冷热饮品制售；小吃（不含凉菜、裱花蛋糕、生食海产品、鲜榨果蔬汁）；客房、住宿。","四川省","成都市"
"002700.SZ","新疆浩源","参股保险;天然气","公用事业-燃气水务-燃气Ⅲ","中证全指;中证A股;水电指数;深证综指;深证A指;中小板综;新指数","小盘股","中小企业板;深证A股;深证上市公司;全部AB股;全部上市公司;深证AB股;全部A股;全部A股(非ST)","长下影线||阳盖阴||放量","圆弧顶||5日均线大于10日均线||最新收盘价在60日均线上的","cci买入信号||行情收盘价上穿5日||boll突破中轨","bias卖出信号||行情收盘价下穿5日","9.52","10.27","9.52","9.33","0.59","87.433","","0.1089","2.3527","0.473","0.28037383","1479760.0","13918174.0","2.0","-2.376","422426880.00","313130880.00","4427033702.4","2918379800.000","59.948","52.286","58.759","4.017","周举东","个人","42.0499","-3894900.4","45983595.99","","5.8","入户安装服务||天然气||车用燃气销售业务||民用燃气销售业务||材料销售","天然气销售、运输。一般经营项目：管道工程专业承包叁级；代收服务费；燃气设备材料销售及中介、天然气业务中介咨询及技术服务。","新疆维吾尔自治区","阿克苏地区"
"600780.SH","通宝能源","致密气;山西国资改革;地方国资改革;机构重仓;证金持股;年报预增","公用事业-电力-火电","新综指;A股指数;工业指数;上证指数;中证全指;中证A股;上证流通","中盘股","全部A股;上证AB股;全部上市公司;上证A股;全部A股(非ST);全部AB股;上证上市公司","光头阳线||红二兵||缩量","圆弧顶||持续5天缩量||箱体震荡","macd金叉||rsi金叉","行情收盘价下穿5日","4.18","3.44","4.55","4.18","2.19","-67.708","","0.1428","4.4031","2.166","","24838359.0","109355620.0","8.768","0.585","1146502523.00","1146502523.00","4379639637.86","4070084000.000","24.73","228.602","52.4","0.824","山西省国有资产监督管理委员会","地方国资委","36.8793","48604176.0","163742776.06","","6.4","热力||燃气||电力||煤炭||火电||配电业务","火力发电、配电业务、燃气业务等。","山西省","太原市"
"002701.SZ","奥瑞金","APEC会议;MSCI潜力股;食品包装;融资融券;深股通;转融券标的;世界杯;番茄酱;债转股;足球概念","轻工制造-包装印刷-包装印刷Ⅲ","深证综指;深证1000;中创400;制造指数;深证成指;中证全指;中小基础;中证700;中证A股;深证A指;中小板综;新指数;中证800;中小300;中创500;深证700;中证500","中盘股","全部A股(非ST);全部AB股;中小企业板;深证A股;全部A股;深证上市公司;深股通;全部上市公司;深证AB股","周线阴线||假阳线||周线光头阴线","低估值||董事长是创始人||社保重仓","cr金叉||周线mtm金叉||psy超卖","周线行情收盘价下穿5日","5.66","5.01","5.73","5.66","0.69","-25.253","","0.3009","2.5045","0.241","2.82992","4332563.0","24737990.0","1.239","0.000","2355225600.00","1798078046.00","12482695680.0","9709621400.000","17.076","19.006","18.304","2.260","周云杰","个人","27.5414","3436376.3","702121822.0","","6.1","三片罐-食品罐||二片罐-饮料罐||食品罐||饮料罐||三片罐-饮料罐||食品饮料金属包装||包装||种子","互联网信息服务；技术开发、技术服务、技术检测；产品设计；经济贸易咨询；从事节能技术和资源再生技术的开发应用；自动识别和标识系统开发及应用；可视化与货物跟踪系统开发及应用；智能化管理系统开发应用；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；电子结算系统开发及应用；生产金属容器、玻璃容器、吹塑容器；销售自产产品（涉及特殊行业项目经政府相关部门批准后方可实施）；体育运动项目经营（高危项目除外）；货物进出口；技术进出口；代理进出口；从事覆膜铁产品的研发及销售；以下项目限分支机构经营：生产覆膜铁产品。（企业依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）","北京市","怀柔区"
"002702.SZ","海欣食品","参股新三板;大消费;壳资源","食品饮料-食品加工制造-食品综合","制造指数;中证A股;中证全指;新指数;深证A指;中小板综;深证综指","小盘股","全部上市公司;深证A股;全部A股(非ST);深证上市公司;全部AB股;深证AB股;全部A股;中小企业板","阴线||小阴星||缩量","圆弧顶||箱体震荡||预告净利润变动幅度超过100","行情收盘价上穿5日||rsi金叉","行情收盘价下穿5日","4.95","4.27","5.21","4.95","3.24","22.781","","0.0557","1.6581","16.01","","47453881.0","241337700.0","5.295","0.946","480760000.00","318835000.00","2211496000.0","1326353600.000","5405.563","-88.462","-87.405","2.561","滕用严, 滕用伟, 滕用庄, 滕用雄","个人, 个人, 个人, 个人","44.91","6332674.3","26794915.35","","5.6","海欣速冻鱼肉制品||鱼极速冻鱼肉制品||鱼糜||仿蟹肉棒||福州虾丸||鱼肉卷||太平燕||黄金鱼板||蟹王肠||海欣速冻肉制品||速冻调理食品||鱼丸||猪肉||鱼糜制品||水产品||商超||海欣休闲食品","批发预包装食品；速冻食品制造、对外贸易、制造业、信息技术服务业的投资、网上贸易代理、供应链管理、数据处理和存储服务。（依法经批准的项目，经相关部门批准后方可开展经营活动）。","福建省","福州市"
"600783.SH","鲁信创投","MSCI潜力股;OGS触控屏;军民融合;参股新三板;金属镁;融资融券;新兴板概念;转融券标的;国改双百行动;地方国资改革;机构重仓;山东国资改革;创投;年报预增","金融服务-保险及其他-多元金融","上证小盘;上证指数;中证1000;上证全指;中证全指;上证流通;上证中小;新综指;工业指数;300精明;A股指数;中证A股","大盘股","上证上市公司;上证AB股;全部A股(非ST);全部AB股;全部上市公司;全部A股;上证A股","阴线||光头阴线||穿头破脚","5日均线大于10日均线||连涨3天||股权高度集中","kdj金叉","行情收盘价下穿5日||mtm死叉||cci卖出信号","12.81","17.50","13.03","12.78","0.37","-30.799","参股新三板","0.29","5.0082","0.669","0.3257329","4980671.0","64264980.0","1.947","4.167","744359294.00","744359294.00","17030940646.72","7532916100.000","129.558","29.204","161.462","2.023","山东省人民政府国有资产监督管理委员会","地方国资委","62.6144","-9135652.0","216894823.7","","6.0","投资管理及咨询服务||磨料磨具制品||洁具||药品||创业投资服务||砂纸","创业投资、投资管理及咨询；磨料磨具、涂附磨具、卫生洁具、工业用纸、硅碳棒、耐火材料及制品的生产、销售；建筑材料、钢材、五金交电、百货、机电产品的销售；机电产品安装、维修（不含电梯）；矿山及化工机械制造、销售；技术开发及咨询服务。","山东省","淄博市"
"600789.SH","鲁抗医药","兽药;地震;埃博拉概念;寨卡病毒概念;炭疽;登革热;禽流感;西尼罗病毒;鼠疫;融资融券;转融券标的;生物医药;医保目录;乙肝治疗;MERS概念;医疗改革;山东国资改革;地方国资改革","医药生物-化学制药-化学制剂","中证A股;中证全指;中证1000;上证指数;上证流通;新综指;新兴综指;工业指数;A股指数;上证150","中盘股","上证AB股;全部A股;全部A股(非ST);上证A股;上证上市公司;全部AB股;全部上市公司","阴线||长下影线||回调缩量","持续4天缩量||KDJ J线低于10||收盘高于年线的股票","bias买入信号||wr超卖||skdj超卖","行情收盘价下穿5日","11.05","8.33","11.68","10.91","0.96","-33.12","医疗改革","0.223","4.3322","9.697","0.43933998","56394136.0","639151320.0","6.956","-1.069","677099796.00","581575475.00","6405364070.16","7391824300.000","39.477","113.027","66.266","2.935","山东省人民政府国有资产监督管理委员会","地方国资委","21.12","3415213.0","144023176.64","","5.6","半合成抗生素原料药||制剂药品||兽用抗生素||半合成抗生素||生物技术药品||生物技术药品以及抗生素相关制剂||兽用农用抗生素||抗生素相关制剂||医药中间体||淀粉||葡萄糖||人用抗生素||抗生素原料药||h7n9禽流感||生物疫苗||兽药产品||抗生素||兽药||疫苗||原料药","许可范围的化学原料药及制剂、医药生产用化工原料、辅料及中间体、兽用药加工、制造；饲料添加剂生产、销售；医药包装品(不含印刷品)、食品添加剂(纳他霉素)的制造、加工、销售；医药化工设备制作、安装；医药工程设计；技术开发、咨询、服务。","山东省","济宁市"
